applicant_id,age,income,credit_score,debt_to_income,employment_years,num_credit_lines,late_payments,bankruptcies,loan_amount,default
A001,28,55000,720,0.35,5,3,0,0,15000,0
A002,45,95000,780,0.28,18,8,0,0,35000,0
A003,22,32000,580,0.48,1,1,2,0,8000,1
A004,38,72000,710,0.32,12,5,0,0,22000,0
A005,51,110000,810,0.22,25,10,0,0,50000,0
A006,26,38000,590,0.52,2,2,3,1,10000,1
A007,42,88000,750,0.29,15,7,0,0,28000,0
A008,33,62000,680,0.38,8,4,1,0,18000,0
A009,19,28000,550,0.55,0,1,1,0,5000,1
A010,47,98000,770,0.26,20,9,0,0,40000,0
A011,35,68000,700,0.34,10,5,0,0,20000,0
A012,29,48000,640,0.42,4,2,1,0,12000,0
A013,53,105000,790,0.24,22,11,0,0,45000,0
A014,24,35000,570,0.50,1,1,2,0,7000,1
A015,40,82000,740,0.30,14,6,0,0,30000,0
A016,31,58000,690,0.36,7,4,0,0,16000,0
A017,49,102000,800,0.23,24,10,0,0,42000,0
A018,27,42000,610,0.45,3,2,1,0,11000,1
A019,44,91000,760,0.27,17,8,0,0,33000,0
A020,36,71000,720,0.33,11,5,0,0,24000,0
