customer_id,age,income,tenure_months,total_purchases,avg_order_value,support_calls,last_purchase_days,satisfaction_score,churned
C001,25,45000,6,12,85.50,2,15,7,0
C002,34,62000,18,45,120.75,1,8,9,0
C003,42,78000,24,78,200.30,0,5,10,0
C004,29,51000,3,5,45.20,5,90,4,1
C005,55,95000,36,120,350.00,1,3,9,0
C006,31,48000,8,8,65.40,4,120,5,1
C007,38,71000,15,35,145.80,2,12,8,0
C008,45,83000,28,92,275.90,0,6,10,0
C009,27,43000,4,3,38.50,6,150,3,1
C010,50,89000,32,105,310.20,1,4,9,0
C011,33,58000,12,28,98.60,3,45,6,0
C012,41,76000,20,55,185.40,2,10,8,0
C013,28,46000,5,6,52.30,5,100,4,1
C014,52,92000,30,98,295.70,0,7,10,0
C015,36,68000,16,40,155.90,2,14,8,0
C016,44,81000,26,85,240.50,1,9,9,0
C017,30,49000,7,10,72.80,4,80,5,1
C018,48,87000,22,68,215.60,1,11,9,0
C019,26,44000,2,2,35.20,7,180,2,1
C020,39,73000,19,52,178.40,2,13,8,0
C021,35,69000,14,33,142.10,2,18,7,0
C022,46,84000,25,81,258.90,1,7,9,0
C023,32,55000,11,22,102.30,3,50,6,0
C024,49,88000,29,95,288.50,0,6,10,0
C025,24,42000,4,4,41.80,6,140,3,1
C026,53,96000,35,115,325.60,1,4,9,0
C027,37,72000,17,42,168.20,2,16,8,0
C028,43,79000,23,72,228.40,1,9,9,0
C029,40,75000,21,58,192.70,2,11,8,0
C030,47,86000,27,88,268.30,1,8,9,0
