date,product_category,region,sales_amount,units_sold,marketing_spend,promotion_active,seasonality_index,competitor_price,weather_index
2024-01-01,Electronics,North,15420.50,87,2500,1,0.85,299.99,0.72
2024-01-02,Electronics,North,18350.75,103,2500,1,0.85,299.99,0.68
2024-01-03,Electronics,South,12890.00,72,1800,0,0.82,289.99,0.85
2024-01-04,Clothing,East,9845.25,142,1200,1,0.78,45.99,0.55
2024-01-05,Clothing,West,11230.50,168,1200,1,0.78,45.99,0.62
2024-01-06,Home,North,22150.00,95,3500,1,0.90,189.99,0.70
2024-01-07,Home,South,19875.25,88,3500,1,0.90,189.99,0.82
2024-01-08,Electronics,East,16720.80,94,2500,1,0.85,299.99,0.58
2024-01-09,Electronics,West,21340.50,119,2500,1,0.85,299.99,0.65
2024-01-10,Clothing,North,13560.00,198,1200,0,0.78,45.99,0.48
2024-01-11,Clothing,South,14892.75,215,1200,0,0.78,45.99,0.88
2024-01-12,Home,East,25680.40,112,3500,1,0.90,189.99,0.61
2024-01-13,Home,West,23450.90,103,3500,1,0.90,189.99,0.73
2024-01-14,Electronics,North,19560.25,110,2500,0,0.85,299.99,0.77
2024-01-15,Electronics,South,14230.50,79,1800,0,0.82,289.99,0.91
2024-01-16,Clothing,East,12340.80,178,1200,1,0.78,45.99,0.52
2024-01-17,Clothing,West,15670.25,227,1200,1,0.78,45.99,0.68
2024-01-18,Home,North,28950.00,124,3500,1,0.90,189.99,0.74
2024-01-19,Home,South,26780.50,117,3500,1,0.90,189.99,0.86
2024-01-20,Electronics,East,20890.75,117,2500,1,0.85,299.99,0.60
